index,model,strategy,variant,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%),paper_IR**(%),diff
CAC 40,LSTM,Long Only,dropout_0.05,2.2341,15.6048,46.9461,6.8638,14.3165,0.6813,5.38,-4.7
CAC 40,LSTM,Long Short,dropout_0.05,-1.2008,21.4584,59.4504,7.9124,-5.5959,-0.113,-0.13,0.02
CAC 40,LSTM,Long Only,dropout_0.10,2.7963,15.124,43.8683,4.7775,18.4895,1.1786,1.2,-0.02
CAC 40,LSTM,Long Short,dropout_0.10,-0.2604,21.4703,54.9903,10.3628,-1.2128,-0.0057,0.22,-0.23
CAC 40,LSTM,Long Only,batch_16,1.8194,14.6561,44.9476,7.1239,12.4141,0.5025,2.25,-1.75
CAC 40,LSTM,Long Short,batch_16,-2.2919,21.4605,59.066,11.8056,-10.6796,-0.4144,-0.19,-0.22
CAC 40,LSTM,Long Only,batch_64,2.9703,15.0671,43.5593,3.6249,19.7136,1.3442,1.99,-0.65
CAC 40,LSTM,Long Short,batch_64,0.0624,21.4587,54.964,4.8734,0.2909,0.0003,1.43,-1.43
CAC 40,LSTM-ARIMA,Long Only,base,3.7882,15.2172,47.8291,5.3142,24.894,1.9717,3.04,-1.07
CAC 40,LSTM-ARIMA,Long Short,base,1.7072,21.4486,56.9625,6.4011,7.9596,0.2386,14.29,-14.05
CAC 40,LSTM-ARIMA,Long Only,dropout_0.05,3.5915,14.1266,41.3739,4.4736,25.4236,2.2069,1.28,0.93
CAC 40,LSTM-ARIMA,Long Short,dropout_0.05,0.9953,21.4563,52.8084,6.935,4.639,0.0874,10.6,-10.51
CAC 40,LSTM-ARIMA,Long Only,dropout_0.10,0.8362,15.5402,51.4706,14.0205,5.381,0.0874,0.01,0.08
CAC 40,LSTM-ARIMA,Long Short,dropout_0.10,-3.9001,21.4449,65.4601,18.3272,-18.1864,-1.0835,3.84,-4.92
CAC 40,LSTM-ARIMA,Long Only,batch_16,2.98,14.4256,43.1355,4.3669,20.6577,1.4271,-0.04,1.47
CAC 40,LSTM-ARIMA,Long Short,batch_16,-0.1148,21.4418,58.4719,6.8556,-0.5355,-0.0011,0.56,-0.56
CAC 40,LSTM-ARIMA,Long Only,batch_64,1.9772,14.294,37.1098,5.9932,13.8325,0.737,-0.13,0.87
CAC 40,LSTM-ARIMA,Long Short,batch_64,-2.0802,21.4526,58.766,7.2663,-9.6967,-0.3432,-0.06,-0.28
